-23,-1009
-30,-4,-1030
30,-14,-1065
33,-2,-1091
-7,2,-1116
-53,-1,-1140
-59,-14,-1160
6,-25,-1175
54,-40,-1173
77,-36,-1148
61,-25,-1122
47,-13,-1130
55,-11,-1112
64,-20,-1094
65,-33,-1067
41,-25,-1054
85,-31,-1028
145,-38,-989
126,-23,-937
90,-21,-903
92,-14,-905
112,-23,-913
113,-31,-898
71,-26,-864
64,-26,-839
92,-31,-829
85,-44,-817
89,-33,-820
134,-57,-819
168,-56,-812
112,-19,-816
79,3,-881
154,3,-938
293,-2,-983
304,-4,-981
262,-4,-956
217,-13,-980
133,-16,-1024
118,-20,-1097
170,-24,-1132
190,-19,-1130
194,-15,-1142
190,-23,-1172
163,-22,-1187
118,-17,-1183
115,-16,-1171
143,-35,-1171
125,-45,-1170
80,-48,-1157
52,-41,-1133
73,-40,-1106
84,-20,-1071
90,-27,-1049
80,-22,-1015
76,-17,-983
83,-20,-955
75,-19,-932
64,-19,-935
69,-13,-938
83,-16,-951
80,-19,-970
75,-15,-988
77,-7,-998
75,-1,-1007
79,-4,-1022
73,-5,-1033
73,2,-1051
62,13,-1066
56,16,-1067
55,26,-1066
17,-9,-1001
67,10,-955
51,10,-915
40,8,-879
49,10,-869
52,11,-864
38,12,-862
37,12,-875
35,14,-884
33,23,-911
38,11,-930
81,3,-969
85,0,-991
59,-3,-1012
45,1,-1049
46,-3,-1070
46,9,-1077
80,2,-1088
104,-3,-1098
46,-2,-1109
1,0,-1124
3,3,-1139
0,5,-1126
0,5,-1113
-24,6,-1088
-60,8,-1048
-72,9,-1008
-72,9,-975
-70,6,-953
-80,4,-926
-77,6,-920
-46,9,-915
-36,3,-914
-49,4,-918
-46,4,-929
-38,5,-960
-49,6,-979
-50,8,-1025
-43,6,-1059
-49,7,-1075
-44,7,-1091
-39,7,-1101
-54,7,-1092
-52,7,-1089
-54,7,-1067
-65,6,-1036
-65,7,-1014
-53,5,-977
-51,3,-953
-50,3,-938
-43,0,-940
-44,0,-937
-38,3,-943
-38,-1,-950
-33,0,-970
-26,2,-994
-26,5,-1014
-28,5,-1035
-42,6,-1058
-52,5,-1062
-60,2,-1070
-67,1,-1067
-65,1,-1055
-67,2,-1046
-63,4,-1021
-60,3,-1000
-53,4,-979
-46,3,-971
-35,1,-961
-36,0,-952
-38,-1,-954
-36,-1,-956
-35,-1,-966
-33,-32,-971
-153,-9,-538
171,216,-669
-44,-16,-778
-177,-35,-836
164,33,-1017
-106,26,-1168
-31,-29,-1378
-6,-42,-1526
-87,-21,-1555
-21,-13,-1533
-98,-3,-1392
-122,-8,-1218
-27,-22,-951
-104,-17,-704
-83,-28,-540
-29,-20,-482
-79,-16,-478
12,-22,-563
3,-44,-654
-28,-33,-865
23,-33,-1117
7,-16,-1317
15,-10,-1418
-30,-12,-1486
-73,-4,-1479
-72,-11,-1389
-152,-8,-1235
-95,-1,-1080
-71,-19,-874
-156,-13,-675
-31,-33,-571
-67,-29,-510
-21,-31,-559
6,-34,-682
-25,-25,-788
12,-22,-998
50,-12,-1184
-14,-25,-1293
-80,-3,-1378
44,-12,-1453
-97,-2,-1383
-64,-15,-1307
-54,-8,-1173
-10,-32,-1029
-8,-33,-875
-21,-31,-741
-83,-17,-632
-110,-12,-595
-102,-12,-638
-129,-11,-730
-47,-38,-882
60,-42,-1039
-37,-14,-1149
16,-18,-1284
54,-8,-1374
9,-7,-1388
-7,-12,-1358
-71,-21,-1261
-81,-8,-1133
-58,-27,-997
-66,5,-849
-29,-30,-770
-125,-9,-643
-86,-26,-616
-103,-22,-640
-135,-12,-731
-74,-12,-879
-74,-3,-1028
-78,-11,-1147
-59,-12,-1257
2,-15,-1357
-18,-11,-1361
12,-16,-1339
-16,-17,-1260
-55,-11,-1106
15,-28,-964
-122,-14,-780
-65,-18,-683
-83,-17,-612
-111,-17,-624
-51,-25,-717
-91,-19,-842
-33,-23,-1016
-29,-14,-1172
-15,-15,-1296
4,-10,-1360
-49,-8,-1353
-48,-8,-1313
-18,-8,-1231
-57,-14,-1087
-105,-16,-931
-80,-21,-795
-109,-19,-683
-79,-23,-640
-69,-21,-670
-58,-20,-749
-29,-18,-884
-18,-15,-1040
0,-11,-1178
6,-11,-1283
-28,-14,-1323
-60,-10,-1324
-47,-13,-1281
-93,-8,-1188
-63,-12,-1080
-110,-12,-930
-105,-16,-803
-84,-21,-694
-85,-18,-676
-33,-24,-706
-33,-21,-779
-11,-22,-897
0,-19,-1040
0,-16,-1164
2,-15,-1250
-62,-9,-1282
-62,-7,-1292
-49,-10,-1271
-108,-11,-1166
-104,-12,-1074
-87,-14,-965
-94,-17,-839
-80,-18,-760
-46,-21,-724
