,1019
3,-38,1032
31,-37,1014
25,-31,988
20,-30,977
33,-32,956
38,-33,951
25,-30,954
35,-34,971
36,-38,986
25,-35,1017
24,-38,1029
22,-42,1058
0,-40,1072
-4,-41,1066
-41,-34,1064
-9,-36,1066
53,-49,1083
38,-50,1067
20,-34,1048
27,-37,1019
56,-40,988
47,-39,980
67,-31,960
66,-32,960
61,-33,961
49,-31,965
64,-33,984
49,-39,1005
38,-42,1030
36,-43,1052
39,-43,1080
41,-46,1087
55,-47,1088
55,-47,1083
55,-44,1061
55,-39,1046
47,-34,1018
46,-34,987
45,-34,970
40,-33,957
33,-36,953
19,-34,959
30,-37,980
37,-37,992
43,-39,1020
41,-41,1041
43,-41,1066
37,-42,1080
37,-43,1085
33,-43,1080
24,-43,1065
21,-42,1043
12,-38,1019
1,-36,1001
13,-34,982
10,-33,973
3,-31,964
-1,-34,962
-6,-33,974
-13,-34,984
-23,-35,1010
-19,-38,1035
-22,-42,1056
-31,-43,1077
-55,-45,1082
-74,-43,1078
-65,-41,1065
-54,-41,1053
-67,-43,1029
-50,-51,1002
-62,-44,985
-35,-30,970
-33,-44,970
-25,-44,978
-19,-42,983
-11,-41,999
-15,-45,1022
-38,-63,1041
-50,-62,1054
-55,-60,1062
-71,-60,1063
-101,-64,1049
-132,-56,1038
-113,-68,1023
-105,-73,1015
-98,-75,1006
-106,-73,994
-109,-83,993
-105,-90,992
-110,-94,1007
-102,-92,1014
-102,-85,1026
-81,-92,1045
-84,-98,1048
-81,-105,1048
-96,-109,1040
-105,-105,1029
-87,-118,1020
-100,-116,1007
-104,-120,999
-119,-121,995
-123,-128,997
-115,-145,991
-87,-154,987
-87,-160,1007
-45,-163,1018
-95,-170,1045
-53,-189,1066
-59,-198,1087
-52,-197,1085
-34,-197,1057
-16,-196,1031
-31,-194,1004
-27,-196,981
-7,-198,967
15,-201,964
23,-205,965
6,-201,977
10,-205,994
27,-212,1003
62,-213,1025
84,-216,1046
102,-213,1051
50,-211,1063
83,-217,1051
92,-209,1048
95,-200,1030
60,-194,1012
92,-189,985
67,-184,980
62,-190,981
89,-190,985
108,-186,988
103,-181,996
99,-178,1011
69,-177,1025
71,-174,1041
113,-177,1050
161,-176,1052
187,-173,1048
187,-168,1034
172,-163,1017
